Cod_Interaguas;Código Ponto;Status Ponto;Data Coleta;Hora Coleta;Oxigênio Dissolvido mg/l;Escherichia coli** UFC/100mL;PH U.pH;Temperatura Da Agua C°;Nitrogênio Total;Nitrogênio-Nitrito mg/l;Nitrogênio-Nitrato mg/L;Nitrogênio Kjeldahl mg/l;Nitrogênio Amoniacal mg/L;Fósforo Total mg/l;Turbidez (UNT);Sólido Total;;;;;;Oxigênio Dissolvido mg/l;Escherichia coli** UFC/100mL;PH U.pH;Temperatura Da Agua C°;Nitrogênio Total;Fósforo Total mg/l        ;Turbidez (UNT)        ;Sólido Total;Total
2535;SABO22500;Ativo;24/03/2022;11:53;1,90;460.000,00;7,25;27,00;15,85;0,19;0,69;9,19;5,78;1,14;15,40;226;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,130;9,176;1,294;1,437;1,355;1,015;1,279;1,629;55,200
2535;SABO22500;Ativo;02/06/2022;10:49;1,50;180.000,00;6,85;20,00;12,99;0,20;0,84;6,27;5,68;0,78;6,31;856;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,080;7,823;1,284;1,390;1,326;0,973;1,180;1,836;42,185
2535;SABO22500;Ativo;29/09/2022;09:35;6,50;27.000,00;7,62;18,00;6,30;0,07;1,36;3,13;1,74;0,39;7,18;162;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,427;5,667;1,302;1,374;1,224;0,902;1,194;1,581;30,154
2535;SABO22500;Ativo;30/11/2022;09:04;4,20;2.800,00;6,93;23,00;11,53;0,10;1,50;5,95;3,98;0,62;6,00;186;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,313;3,855;1,286;1,412;1,309;0,949;1,175;1,601;21,467
2535;SABO22500;Ativo;07/03/2023;11:27;2,60;150.000,00;7,22;22,00;12,97;0,10;0,54;6,94;5,39;0,78;7,17;734;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,199;7,585;1,293;1,405;1,326;0,973;1,194;1,811;46,079
2535;SABO22500;Ativo;14/06/2023;10:01;3,00;160.000,00;6,78;21,00;5,20;0,01;0,10;2,92;2,17;0,67;10,40;17.200;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,232;7,668;1,283;1,398;1,199;0,957;1,235;2,405;57,705
2535;SABO22500;Ativo;13/09/2023;10:58;1,90;340.000,00;7,44;25,00;24,98;0,08;0,20;13,60;11,10;1,53;10,00;350;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,130;8,717;1,298;1,425;1,425;1,048;1,230;1,694;56,676
2535;SABO22500;Ativo;06/12/2023;09:44;2,00;890.000,00;7,10;26,00;17,80;0,05;0,48;10,10;7,17;1,24;7,70;192;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,141;10,266;1,290;1,431;1,373;1,024;1,202;1,605;58,616
2535;SABO22500;Ativo;13/03/2024;08:41;6,50;720.000,00;6,91;25,00;16,46;0,07;0,99;8,68;6,72;0,99;19,30;532;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,427;9,903;1,286;1,425;1,361;0,999;1,305;1,759;80,808
2535;SABO22500;Ativo;07/05/2024;13:57;5,60;60.000,00;7,09;26,00;26,08;0,03;20,70;4,13;1,22;0,62;6,09;20.000;Rio Saboó - SABO;Rio (Lótico);Salobra 2;SANTOS;SP;1,387;6,491;1,290;1,431;1,431;0,949;1,177;2,438;64,764
